,epoch,loss,root_mean_squared_error,ndcg_metric,recall_metric,hits_metric,mean_absolute_error,kl_div,val_loss,val_root_mean_squared_error,val_ndcg_metric,val_recall_metric,val_hits_metric,val_mean_absolute_error,val_kl_div
0,1,20.8924,0.0556,0.2732,0.1502,0.7218,0.0196,1.0069,25.9079,0.0640,0.4426,0.1739,0.8553,0.0219,0.0000e+00
1,2,16.1196,0.0486,0.3644,0.2051,0.8453,0.0152,0.5130,24.5576,0.0587,0.4755,0.1844,0.8668,0.0170,0.0000e+00
2,3,15.4832,0.0476,0.3864,0.2183,0.8640,0.0141,0.4049,23.9164,0.0583,0.4818,0.1810,0.8548,0.0165,0.0000e+00
3,4,15.1499,0.0471,0.3999,0.2266,0.8738,0.0135,0.3568,23.6597,0.0575,0.4824,0.1746,0.8439,0.0157,0.0000e+00
4,5,14.9513,0.0467,0.4111,0.2342,0.8808,0.0130,0.3291,23.4284,0.0599,0.4697,0.1608,0.8214,0.0173,0.0000e+00
5,6,14.7862,0.0465,0.4203,0.2406,0.8863,0.0127,0.3132,23.3280,0.0585,0.4625,0.1549,0.8069,0.0161,0.0000e+00
6,7,14.6213,0.0462,0.4282,0.2461,0.8906,0.0125,0.3023,23.3563,0.0591,0.4475,0.1452,0.7930,0.0164,0.0000e+00
7,8,14.5481,0.0461,0.4352,0.2506,0.8937,0.0123,0.2967,23.3215,0.0580,0.4381,0.1370,0.7657,0.0154,0.0000e+00
8,9,14.4352,0.0459,0.4416,0.2552,0.8976,0.0122,0.2919,23.4126,0.0574,0.4301,0.1315,0.7492,0.0148,0.0000e+00
9,10,14.3443,0.0457,0.4476,0.2591,0.9008,0.0120,0.2891,23.5700,0.0587,0.4143,0.1240,0.7320,0.0158,0.0000e+00
10,11,14.2654,0.0456,0.4525,0.2624,0.9033,0.0119,0.2877,23.6472,0.0579,0.4047,0.1175,0.7091,0.0150,0.0000e+00
