,epoch,loss,val_loss
0,1.0,20.8924350739,25.9079399109
1,2.0,16.1216983795,24.4836578369
2,3.0,15.4988603592,23.9668960571
3,4.0,15.1550035477,23.6348018646
4,5.0,14.966881752,23.4705791473
5,6.0,14.7837591171,23.3288059235
6,7.0,14.6377506256,23.2925701141
7,8.0,14.5376663208,23.3530902863
8,9.0,14.4493923187,23.3723278046
9,10.0,14.3494577408,23.6102333069
10,11.0,14.2539510727,23.6559066772
11,12.0,14.1885004044,24.0771255493
12,13.0,14.1040859222,24.0522441864
13,14.0,14.0456943512,24.1568832397
14,15.0,13.9918689728,24.4817790985
15,16.0,13.9127473831,24.9346618652
16,17.0,13.8690414429,25.0019416809
17,18.0,13.800491333,25.4033069611
18,19.0,13.7576475143,25.5274677277
19,20.0,13.6612987518,25.9099712372
20,21.0,13.6389694214,26.2190761566
21,22.0,13.5817279816,26.2816333771
22,23.0,13.5143823624,26.7066764832
23,24.0,13.4776067734,27.2385959625
24,25.0,13.4412412643,27.4907665253
25,26.0,13.3913145065,27.9714679718
26,27.0,13.324631691,27.8083724976
27,28.0,13.2932739258,28.1874008179
28,29.0,13.2685222626,28.8498153687
29,30.0,13.2166872025,28.9368286133
30,31.0,13.1626062393,29.4403400421
31,32.0,13.1357889175,29.5305328369
32,33.0,13.1103715897,30.4406108856
33,34.0,13.0477743149,30.189535141
34,35.0,13.024515152,30.8959579468
35,36.0,12.9800596237,30.7712402344
36,37.0,12.9429292679,31.5957508087
37,38.0,12.9047193527,32.1883468628
38,39.0,12.8593854904,32.6792030334
39,40.0,12.8274774551,33.289768219
